"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0017081","GO:0017081","chloride channel regulator activity","1/333","16/16969",0.271849622988192,0.740400114520546,0.677044444235072,"STX1A",1
"GO:0022848","GO:0022848","acetylcholine-gated cation-selective channel activity","1/333","16/16969",0.271849622988192,0.740400114520546,0.677044444235072,"CHRNA5",1
"GO:0046982","GO:0046982","protein heterodimerization activity","12/333","497/16969",0.272026255551777,0.740400114520546,0.677044444235072,"TOP2A/PAFAH1B3/AURKA/TIMELESS/STX1A/HIST1H2BD/IRAK1/CENPA/BARD1/P4HB/BUD23/GAD1",12
"GO:0140030","GO:0140030","modification-dependent protein binding","4/333","135/16969",0.273648803877002,0.740400114520546,0.677044444235072,"CBX8/UBQLN4/SUZ12/NCAPD3",4
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","7/333","268/16969",0.274548340490689,0.740400114520546,0.677044444235072,"EXO1/DDX56/CPSF3/FEN1/BUD23/RNASEH2A/EPRS",7
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","2/333","53/16969",0.279126042366909,0.740400114520546,0.677044444235072,"BIRC5/CST1",2
"GO:0003779","GO:0003779","actin binding","9/333","361/16969",0.279404660454863,0.740400114520546,0.677044444235072,"ANLN/HOOK1/BAIAP2L1/SPIRE2/MYO7A/MARCKSL1/DNASE1/SPTBN2/RUSC1",9
"GO:0005001","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","1/333","17/16969",0.286152346727054,0.740400114520546,0.677044444235072,"PTPRH",1
"GO:0005248","GO:0005248","voltage-gated sodium channel activity","1/333","17/16969",0.286152346727054,0.740400114520546,0.677044444235072,"HCN3",1
"GO:0019198","GO:0019198","transmembrane receptor protein phosphatase activity","1/333","17/16969",0.286152346727054,0.740400114520546,0.677044444235072,"PTPRH",1
"GO:0031435","GO:0031435","mitogen-activated protein kinase kinase kinase binding","1/333","17/16969",0.286152346727054,0.740400114520546,0.677044444235072,"MARVELD3",1
"GO:0051119","GO:0051119","sugar transmembrane transporter activity","1/333","17/16969",0.286152346727054,0.740400114520546,0.677044444235072,"SLC50A1",1
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","1/333","17/16969",0.286152346727054,0.740400114520546,0.677044444235072,"BAIAP2L1",1
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","2/333","54/16969",0.286420195668906,0.740400114520546,0.677044444235072,"PDIA4/P4HB",2
"GO:0008194","GO:0008194","UDP-glycosyltransferase activity","4/333","138/16969",0.28676328286682,0.740400114520546,0.677044444235072,"GYG2/GCNT3/B4GALT3/UGGT1",4
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","4/333","139/16969",0.291155338414612,0.747516795817292,0.683552154645778,"SFXN1/ABCC3/SLC52A2/SLC25A10",4
"GO:0017016","GO:0017016","Ras GTPase binding","8/333","320/16969",0.29328168781107,0.748769448769045,0.684697618706233,"BIRC5/ECT2/IPO4/ARHGEF16/ARHGEF39/ARHGEF19/NGEF/XPO5",8
"GO:0016780","GO:0016780","phosphotransferase activity, for other substituted phosphate groups","1/333","18/16969",0.300174955772588,0.750562662113967,0.686337387675331,"SELENOI",1
"GO:0070064","GO:0070064","proline-rich region binding","1/333","18/16969",0.300174955772588,0.750562662113967,0.686337387675331,"BAIAP2L1",1
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","3/333","98/16969",0.302240924583433,0.750562662113967,0.686337387675331,"SFXN1/ABCC3/SLC25A10",3
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","3/333","99/16969",0.30761407511636,0.750562662113967,0.686337387675331,"SFXN1/ABCC3/SLC25A10",3
"GO:0001972","GO:0001972","retinoic acid binding","1/333","19/16969",0.313922919888436,0.750562662113967,0.686337387675331,"CRABP2",1
"GO:0044390","GO:0044390","ubiquitin-like protein conjugating enzyme binding","1/333","19/16969",0.313922919888436,0.750562662113967,0.686337387675331,"MARCH6",1
"GO:0046625","GO:0046625","sphingolipid binding","1/333","19/16969",0.313922919888436,0.750562662113967,0.686337387675331,"LAPTM4B",1
"GO:0015238","GO:0015238","drug transmembrane transporter activity","2/333","59/16969",0.322725483422016,0.750562662113967,0.686337387675331,"SFXN1/SLC52A2",2
"GO:0033293","GO:0033293","monocarboxylic acid binding","2/333","59/16969",0.322725483422016,0.750562662113967,0.686337387675331,"PC/CRABP2",2
"GO:0042826","GO:0042826","histone deacetylase binding","3/333","102/16969",0.323750175124277,0.750562662113967,0.686337387675331,"TOP2A/PARP1/CDC20",3
"GO:0005540","GO:0005540","hyaluronic acid binding","1/333","20/16969",0.327401602347265,0.750562662113967,0.686337387675331,"HMMR",1
"GO:0008266","GO:0008266","poly(U) RNA binding","1/333","20/16969",0.327401602347265,0.750562662113967,0.686337387675331,"MSI2",1
"GO:0016799","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","1/333","20/16969",0.327401602347265,0.750562662113967,0.686337387675331,"SMUG1",1
"GO:0030552","GO:0030552","cAMP binding","1/333","20/16969",0.327401602347265,0.750562662113967,0.686337387675331,"HCN3",1
"GO:0034593","GO:0034593","phosphatidylinositol bisphosphate phosphatase activity","1/333","20/16969",0.327401602347265,0.750562662113967,0.686337387675331,"SYNJ2",1
"GO:0051184","GO:0051184","cofactor transmembrane transporter activity","1/333","20/16969",0.327401602347265,0.750562662113967,0.686337387675331,"ABCB6",1
"GO:0140103","GO:0140103","catalytic activity, acting on a glycoprotein","1/333","20/16969",0.327401602347265,0.750562662113967,0.686337387675331,"GCNT3",1
"GO:0031267","GO:0031267","small GTPase binding","8/333","333/16969",0.330934185964834,0.750562662113967,0.686337387675331,"BIRC5/ECT2/IPO4/ARHGEF16/ARHGEF39/ARHGEF19/NGEF/XPO5",8
"GO:0000030","GO:0000030","mannosyltransferase activity","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"ALG8",1
"GO:0000979","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"EZH2",1
"GO:0001223","GO:0001223","transcription coactivator binding","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"TFAM",1
"GO:0003887","GO:0003887","DNA-directed DNA polymerase activity","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"POLQ",1
"GO:0005184","GO:0005184","neuropeptide hormone activity","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"VGF",1
"GO:0016814","GO:0016814","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"ATIC",1
"GO:0035250","GO:0035250","UDP-galactosyltransferase activity","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"B4GALT3",1
"GO:0050699","GO:0050699","WW domain binding","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"CDC25C",1
"GO:0070034","GO:0070034","telomerase RNA binding","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"DKC1",1
"GO:0090482","GO:0090482","vitamin transmembrane transporter activity","1/333","21/16969",0.340616261997885,0.750562662113967,0.686337387675331,"SLC52A2",1
"GO:0042626","GO:0042626","ATPase activity, coupled to transmembrane movement of substances","2/333","62/16969",0.344295117200757,0.750562662113967,0.686337387675331,"ABCB6/ABCC3",2
"GO:0020037","GO:0020037","heme binding","3/333","106/16969",0.345263617362345,0.750562662113967,0.686337387675331,"CYP24A1/ABCB6/MB",3
"GO:0005539","GO:0005539","glycosaminoglycan binding","5/333","199/16969",0.352318944805502,0.750562662113967,0.686337387675331,"TMEM184A/HMMR/MDK/PODXL2/HDGF",5
"GO:0000146","GO:0000146","microfilament motor activity","1/333","22/16969",0.353572055292356,0.750562662113967,0.686337387675331,"MYO7A",1
"GO:0008187","GO:0008187","poly-pyrimidine tract binding","1/333","22/16969",0.353572055292356,0.750562662113967,0.686337387675331,"MSI2",1
"GO:0015175","GO:0015175","neutral amino acid transmembrane transporter activity","1/333","22/16969",0.353572055292356,0.750562662113967,0.686337387675331,"SFXN1",1
"GO:0043015","GO:0043015","gamma-tubulin binding","1/333","22/16969",0.353572055292356,0.750562662113967,0.686337387675331,"RACGAP1",1
"GO:0070840","GO:0070840","dynein complex binding","1/333","22/16969",0.353572055292356,0.750562662113967,0.686337387675331,"CENPF",1
"GO:0031072","GO:0031072","heat shock protein binding","3/333","108/16969",0.356001305635471,0.750562662113967,0.686337387675331,"TFAM/IRAK1/STIP1",3
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","9/333","390/16969",0.358103064100361,0.750562662113967,0.686337387675331,"E2F2/ETV4/PARP1/MESP1/SIX4/TFAP2C/E2F3/HNF4G/CREB3L4",9
"GO:0002039","GO:0002039","p53 binding","2/333","65/16969",0.365639134989817,0.750562662113967,0.686337387675331,"BLM/BANP",2
"GO:0005227","GO:0005227","calcium activated cation channel activity","1/333","23/16969",0.366274038273866,0.750562662113967,0.686337387675331,"KCNMB3",1
"GO:0005310","GO:0005310","dicarboxylic acid transmembrane transporter activity","1/333","23/16969",0.366274038273866,0.750562662113967,0.686337387675331,"SLC25A10",1
"GO:0070412","GO:0070412","R-SMAD binding","1/333","23/16969",0.366274038273866,0.750562662113967,0.686337387675331,"PARP1",1
"GO:0071855","GO:0071855","neuropeptide receptor binding","1/333","23/16969",0.366274038273866,0.750562662113967,0.686337387675331,"NMU",1
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity","1/333","23/16969",0.366274038273866,0.750562662113967,0.686337387675331,"XPO5",1
"GO:0005096","GO:0005096","GTPase activator activity","5/333","203/16969",0.367890670270303,0.750562662113967,0.686337387675331,"ECT2/ARHGEF19/RASAL1/DEPDC1B/RACGAP1",5
"GO:0016835","GO:0016835","carbon-oxygen lyase activity","2/333","66/16969",0.372695580302658,0.756986134214733,0.692211206456867,"POLQ/ENO1",2
"GO:0008135","GO:0008135","translation factor activity, RNA binding","2/333","67/16969",0.379720278853039,0.763495266401126,0.698163355433024,"EEF1A2/DENR",2
"GO:0050660","GO:0050660","flavin adenine dinucleotide binding","2/333","67/16969",0.379720278853039,0.763495266401126,0.698163355433024,"DUS1L/FOXRED2",2
"GO:0005178","GO:0005178","integrin binding","3/333","113/16969",0.382728880535357,0.763495266401126,0.698163355433024,"SPP1/P4HB/FRMD5",3
"GO:0003727","GO:0003727","single-stranded RNA binding","2/333","68/16969",0.386711759813199,0.763495266401126,0.698163355433024,"MSI2/CBX8",2
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","2/333","68/16969",0.386711759813199,0.763495266401126,0.698163355433024,"ABCB6/ABCC3",2
"GO:0015405","GO:0015405","P-P-bond-hydrolysis-driven transmembrane transporter activity","2/333","68/16969",0.386711759813199,0.763495266401126,0.698163355433024,"ABCB6/ABCC3",2
"GO:0004004","GO:0004004","ATP-dependent RNA helicase activity","1/333","25/16969",0.390936307085041,0.763495266401126,0.698163355433024,"DDX56",1
"GO:0052866","GO:0052866","phosphatidylinositol phosphate phosphatase activity","1/333","25/16969",0.390936307085041,0.763495266401126,0.698163355433024,"SYNJ2",1
"GO:1901505","GO:1901505","carbohydrate derivative transmembrane transporter activity","1/333","25/16969",0.390936307085041,0.763495266401126,0.698163355433024,"SLC50A1",1
"GO:0043492","GO:0043492","ATPase activity, coupled to movement of substances","2/333","69/16969",0.393668621931815,0.764939913041017,0.699484384377022,"ABCB6/ABCC3",2
"GO:0000987","GO:0000987","proximal promoter sequence-specific DNA binding","10/333","452/16969",0.395023675005865,0.764939913041017,0.699484384377022,"E2F2/ETV4/EZH2/ZNF239/SIX4/TFAP2C/E2F3/HNF4G/SUZ12/CREB3L4",10
"GO:0046906","GO:0046906","tetrapyrrole binding","3/333","116/16969",0.398650192708201,0.76720059451336,0.701551620457915,"CYP24A1/ABCB6/MB",3
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","1/333","26/16969",0.402906220313362,0.76720059451336,0.701551620457915,"ABCC3",1
"GO:0016628","GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","1/333","26/16969",0.402906220313362,0.76720059451336,0.701551620457915,"SRD5A1",1
"GO:0046915","GO:0046915","transition metal ion transmembrane transporter activity","1/333","26/16969",0.402906220313362,0.76720059451336,0.701551620457915,"SLC39A11",1
"GO:0043178","GO:0043178","alcohol binding","2/333","71/16969",0.407473219679207,0.772677433167625,0.706559808747086,"XPR1/CRABP2",2
"GO:0017147","GO:0017147","Wnt-protein binding","1/333","27/16969",0.414641581739063,0.776603290388327,0.710149732314098,"CTHRC1",1
"GO:0019825","GO:0019825","oxygen binding","1/333","27/16969",0.414641581739063,0.776603290388327,0.710149732314098,"MB",1
"GO:0030507","GO:0030507","spectrin binding","1/333","27/16969",0.414641581739063,0.776603290388327,0.710149732314098,"MYO7A",1
"GO:0005516","GO:0005516","calmodulin binding","4/333","168/16969",0.419916159696259,0.782181476471002,0.715250595782536,"ASPM/PHKA1/MYO7A/MARCKSL1",4
"GO:0033218","GO:0033218","amide binding","6/333","266/16969",0.423233536817812,0.782181476471002,0.715250595782536,"PC/KDELR3/LAPTM4B/KDELR2/SRD5A1/PTGES",6
"GO:0008186","GO:0008186","RNA-dependent ATPase activity","1/333","28/16969",0.42614697385811,0.782181476471002,0.715250595782536,"DDX56",1
"GO:0015144","GO:0015144","carbohydrate transmembrane transporter activity","1/333","28/16969",0.42614697385811,0.782181476471002,0.715250595782536,"SLC50A1",1
"GO:0001618","GO:0001618","virus receptor activity","2/333","74/16969",0.427889210323305,0.782181476471002,0.715250595782536,"XPR1/SLC52A2",2
"GO:0104005","GO:0104005","hijacked molecular function","2/333","74/16969",0.427889210323305,0.782181476471002,0.715250595782536,"XPR1/SLC52A2",2
"GO:0005231","GO:0005231","excitatory extracellular ligand-gated ion channel activity","1/333","29/16969",0.437426889902337,0.793270193195905,0.725390456521419,"CHRNA5",1
"GO:0051721","GO:0051721","protein phosphatase 2A binding","1/333","29/16969",0.437426889902337,0.793270193195905,0.725390456521419,"PPME1",1
"GO:0005164","GO:0005164","tumor necrosis factor receptor binding","1/333","30/16969",0.448485735573088,0.801964495793174,0.73334079196105,"TRAP1",1
"GO:0030291","GO:0030291","protein serine/threonine kinase inhibitor activity","1/333","30/16969",0.448485735573088,0.801964495793174,0.73334079196105,"HEXIM2",1
"GO:1904315","GO:1904315","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","1/333","30/16969",0.448485735573088,0.801964495793174,0.73334079196105,"CHRNA5",1
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","5/333","224/16969",0.449240505302084,0.801964495793174,0.73334079196105,"FOXM1/ZNF239/HES6/TFAP2C/ENO1",5
"GO:0008013","GO:0008013","beta-catenin binding","2/333","78/16969",0.454523095836192,0.805671528900725,0.736730616085657,"BCL9/SETD1A",2
"GO:0031406","GO:0031406","carboxylic acid binding","4/333","176/16969",0.45484300756321,0.805671528900725,0.736730616085657,"HMMR/PC/GAD1/CRABP2",4
"GO:0015179","GO:0015179","L-amino acid transmembrane transporter activity","1/333","31/16969",0.459327830741289,0.807315086231149,0.738233535031133,"SFXN1",1
"GO:0016229","GO:0016229","steroid dehydrogenase activity","1/333","31/16969",0.459327830741289,0.807315086231149,0.738233535031133,"SRD5A1",1
"GO:0030165","GO:0030165","PDZ domain binding","2/333","79/16969",0.461070541589343,0.807315086231149,0.738233535031133,"KIF14/ARHGEF16",2
"GO:0043177","GO:0043177","organic acid binding","4/333","178/16969",0.463470931352152,0.808420670335623,0.739244514852568,"HMMR/PC/GAD1/CRABP2",4
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","1/333","32/16969",0.469957411114601,0.810454856148576,0.74110463639522,"EZH2",1
"GO:0008378","GO:0008378","galactosyltransferase activity","1/333","32/16969",0.469957411114601,0.810454856148576,0.74110463639522,"B4GALT3",1
"GO:0030551","GO:0030551","cyclic nucleotide binding","1/333","32/16969",0.469957411114601,0.810454856148576,0.74110463639522,"HCN3",1
"GO:0004864","GO:0004864","protein phosphatase inhibitor activity","1/333","33/16969",0.480378629872281,0.819153111386689,0.74905858625018,"PPME1",1
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","1/333","33/16969",0.480378629872281,0.819153111386689,0.74905858625018,"BAIAP2L1",1
"GO:0099529","GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","1/333","33/16969",0.480378629872281,0.819153111386689,0.74905858625018,"CHRNA5",1
"GO:0003724","GO:0003724","RNA helicase activity","1/333","34/16969",0.490595559268392,0.8199991822122,0.749832259215118,"DDX56",1
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","1/333","34/16969",0.490595559268392,0.8199991822122,0.749832259215118,"ALDH18A1",1
"GO:0098960","GO:0098960","postsynaptic neurotransmitter receptor activity","1/333","34/16969",0.490595559268392,0.8199991822122,0.749832259215118,"CHRNA5",1
"GO:0030695","GO:0030695","GTPase regulator activity","5/333","235/16969",0.490863421699733,0.8199991822122,0.749832259215118,"ECT2/ARHGEF19/RASAL1/DEPDC1B/RACGAP1",5
"GO:0004812","GO:0004812","aminoacyl-tRNA ligase activity","1/333","35/16969",0.500612192203947,0.8199991822122,0.749832259215118,"EPRS",1
"GO:0005501","GO:0005501","retinoid binding","1/333","35/16969",0.500612192203947,0.8199991822122,0.749832259215118,"CRABP2",1
"GO:0008200","GO:0008200","ion channel inhibitor activity","1/333","35/16969",0.500612192203947,0.8199991822122,0.749832259215118,"STX1A",1
"GO:0016875","GO:0016875","ligase activity, forming carbon-oxygen bonds","1/333","35/16969",0.500612192203947,0.8199991822122,0.749832259215118,"EPRS",1
"GO:0042165","GO:0042165","neurotransmitter binding","1/333","35/16969",0.500612192203947,0.8199991822122,0.749832259215118,"NIPSNAP1",1
"GO:0043014","GO:0043014","alpha-tubulin binding","1/333","35/16969",0.500612192203947,0.8199991822122,0.749832259215118,"RACGAP1",1
"GO:0043531","GO:0043531","ADP binding","1/333","35/16969",0.500612192203947,0.8199991822122,0.749832259215118,"MYO7A",1
"GO:0008509","GO:0008509","anion transmembrane transporter activity","5/333","240/16969",0.509411994990379,0.82426723251681,0.753735094573704,"SFXN1/XPR1/ABCC3/SLC52A2/SLC25A10",5
"GO:0016248","GO:0016248","channel inhibitor activity","1/333","36/16969",0.510432443768615,0.82426723251681,0.753735094573704,"STX1A",1
"GO:0019840","GO:0019840","isoprenoid binding","1/333","36/16969",0.510432443768615,0.82426723251681,0.753735094573704,"CRABP2",1
"GO:1901618","GO:1901618","organic hydroxy compound transmembrane transporter activity","1/333","36/16969",0.510432443768615,0.82426723251681,0.753735094573704,"ABCC3",1
"GO:0035258","GO:0035258","steroid hormone receptor binding","2/333","88/16969",0.517849810361621,0.825873996552688,0.755204368608585,"PARP1/CCNE1",2
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","1/333","37/16969",0.520060152752555,0.825873996552688,0.755204368608585,"MELK",1
"GO:0005272","GO:0005272","sodium channel activity","1/333","37/16969",0.520060152752555,0.825873996552688,0.755204368608585,"HCN3",1
"GO:0017069","GO:0017069","snRNA binding","1/333","37/16969",0.520060152752555,0.825873996552688,0.755204368608585,"HEXIM2",1
"GO:0005547","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","1/333","38/16969",0.529499083128966,0.825873996552688,0.755204368608585,"RACGAP1",1
"GO:0008138","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","1/333","38/16969",0.529499083128966,0.825873996552688,0.755204368608585,"CDKN3",1
"GO:0008188","GO:0008188","neuropeptide receptor activity","1/333","38/16969",0.529499083128966,0.825873996552688,0.755204368608585,"KISS1R",1
"GO:0019212","GO:0019212","phosphatase inhibitor activity","1/333","38/16969",0.529499083128966,0.825873996552688,0.755204368608585,"PPME1",1
"GO:0048487","GO:0048487","beta-tubulin binding","1/333","38/16969",0.529499083128966,0.825873996552688,0.755204368608585,"RACGAP1",1
"GO:0051879","GO:0051879","Hsp90 protein binding","1/333","38/16969",0.529499083128966,0.825873996552688,0.755204368608585,"STIP1",1
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","1/333","39/16969",0.538752925507919,0.837449275364351,0.765789156557981,"ALDH18A1",1
"GO:0005246","GO:0005246","calcium channel regulator activity","1/333","40/16969",0.547825298562016,0.837857401931352,0.766162359937226,"STX1A",1
"GO:0016706","GO:0016706","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","1/333","40/16969",0.547825298562016,0.837857401931352,0.766162359937226,"P4HB",1
"GO:0016879","GO:0016879","ligase activity, forming carbon-nitrogen bonds","1/333","40/16969",0.547825298562016,0.837857401931352,0.766162359937226,"PAICS",1
"GO:0019894","GO:0019894","kinesin binding","1/333","40/16969",0.547825298562016,0.837857401931352,0.766162359937226,"PRC1",1
"GO:0008083","GO:0008083","growth factor activity","3/333","147/16969",0.553418886942016,0.837857401931352,0.766162359937226,"MDK/VGF/HDGF",3
"GO:0003743","GO:0003743","translation initiation factor activity","1/333","41/16969",0.556719750424433,0.837857401931352,0.766162359937226,"DENR",1
"GO:0030331","GO:0030331","estrogen receptor binding","1/333","41/16969",0.556719750424433,0.837857401931352,0.766162359937226,"PARP1",1
"GO:0030544","GO:0030544","Hsp70 protein binding","1/333","41/16969",0.556719750424433,0.837857401931352,0.766162359937226,"STIP1",1
"GO:0031593","GO:0031593","polyubiquitin modification-dependent protein binding","1/333","41/16969",0.556719750424433,0.837857401931352,0.766162359937226,"UBQLN4",1
"GO:0008201","GO:0008201","heparin binding","3/333","148/16969",0.558020360177204,0.837857401931352,0.766162359937226,"TMEM184A/MDK/HDGF",3
"GO:0005267","GO:0005267","potassium channel activity","2/333","95/16969",0.559182729954184,0.837857401931352,0.766162359937226,"HCN3/KCNMB3",2
"GO:0001047","GO:0001047","core promoter binding","1/333","42/16969",0.565439760059869,0.84446395538353,0.772203593889811,"EZH2",1
"GO:0015459","GO:0015459","potassium channel regulator activity","1/333","43/16969",0.573988738608936,0.854439262359231,0.781325318799067,"KCNMB3",1
"GO:0050681","GO:0050681","androgen receptor binding","1/333","44/16969",0.582370030706492,0.862294634213775,0.788508510383205,"CCNE1",1
"GO:0003954","GO:0003954","NADH dehydrogenase activity","1/333","45/16969",0.590586915774423,0.862294634213775,0.788508510383205,"NDUFS8",1
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","1/333","45/16969",0.590586915774423,0.862294634213775,0.788508510383205,"NDUFS8",1
"GO:0008375","GO:0008375","acetylglucosaminyltransferase activity","1/333","45/16969",0.590586915774423,0.862294634213775,0.788508510383205,"GCNT3",1
"GO:0032813","GO:0032813","tumor necrosis factor receptor superfamily binding","1/333","45/16969",0.590586915774423,0.862294634213775,0.788508510383205,"TRAP1",1
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","1/333","45/16969",0.590586915774423,0.862294634213775,0.788508510383205,"NDUFS8",1
"GO:0005080","GO:0005080","protein kinase C binding","1/333","46/16969",0.598642609289379,0.871272842182313,0.796718457552409,"TOP2A",1
"GO:0060589","GO:0060589","nucleoside-triphosphatase regulator activity","5/333","267/16969",0.604174097842937,0.871775432631454,0.797178041586288,"ECT2/ARHGEF19/RASAL1/DEPDC1B/RACGAP1",5
"GO:0000049","GO:0000049","tRNA binding","1/333","47/16969",0.60654026402593,0.871775432631454,0.797178041586288,"XPO5",1
"GO:0043022","GO:0043022","ribosome binding","1/333","47/16969",0.60654026402593,0.871775432631454,0.797178041586288,"YTHDF1",1
"GO:0016798","GO:0016798","hydrolase activity, acting on glycosyl bonds","2/333","104/16969",0.60852595844515,0.871775432631454,0.797178041586288,"SMPDL3B/SMUG1",2
"GO:0099106","GO:0099106","ion channel regulator activity","2/333","104/16969",0.60852595844515,0.871775432631454,0.797178041586288,"STX1A/KCNMB3",2
"GO:0008173","GO:0008173","RNA methyltransferase activity","1/333","48/16969",0.614282971275626,0.874450182318135,0.799623914269952,"BUD23",1
"GO:0000978","GO:0000978","RNA polymerase II proximal promoter sequence-specific DNA binding","8/333","432/16969",0.615870458685702,0.874450182318135,0.799623914269952,"ETV4/EZH2/ZNF239/SIX4/TFAP2C/HNF4G/SUZ12/CREB3L4",8
"GO:0004722","GO:0004722","protein serine/threonine phosphatase activity","1/333","49/16969",0.621873762042437,0.874450182318135,0.799623914269952,"CDKN3",1
"GO:0016597","GO:0016597","amino acid binding","1/333","49/16969",0.621873762042437,0.874450182318135,0.799623914269952,"GAD1",1
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","1/333","49/16969",0.621873762042437,0.874450182318135,0.799623914269952,"SRD5A1",1
"GO:0016836","GO:0016836","hydro-lyase activity","1/333","49/16969",0.621873762042437,0.874450182318135,0.799623914269952,"ENO1",1
"GO:0050661","GO:0050661","NADP binding","1/333","50/16969",0.629315608215006,0.882200101086681,0.806710676336318,"SRD5A1",1
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","2/333","110/16969",0.639027084773038,0.893074549667517,0.816654603749866,"HCN3/KCNMB3",2
"GO:0005070","GO:0005070","SH3/SH2 adaptor activity","1/333","52/16969",0.643764065630269,0.896951762173881,0.820200045106601,"RUSC1",1
"GO:0003707","GO:0003707","steroid hormone receptor activity","1/333","54/16969",0.657650979452552,0.905260534969326,0.827797840338184,"HNF4G",1
"GO:0022824","GO:0022824","transmitter-gated ion channel activity","1/333","54/16969",0.657650979452552,0.905260534969326,0.827797840338184,"CHRNA5",1
"GO:0022835","GO:0022835","transmitter-gated channel activity","1/333","54/16969",0.657650979452552,0.905260534969326,0.827797840338184,"CHRNA5",1
"GO:0043130","GO:0043130","ubiquitin binding","1/333","54/16969",0.657650979452552,0.905260534969326,0.827797840338184,"TOP2A",1
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","5/333","286/16969",0.66421253065358,0.9090615145764,0.831273572006981,"UBE2T/AURKA/UBE2C/CCNB1/LAPTM4B",5
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","1/333","55/16969",0.664390691178376,0.9090615145764,0.831273572006981,"SFXN1",1
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","1/333","57/16969",0.677475828140211,0.918919600445457,0.840288106361503,"NDUFS8",1
"GO:0030971","GO:0030971","receptor tyrosine kinase binding","1/333","58/16969",0.683826380956514,0.918919600445457,0.840288106361503,"ARHGEF16",1
"GO:0048306","GO:0048306","calcium-dependent protein binding","1/333","58/16969",0.683826380956514,0.918919600445457,0.840288106361503,"STX1A",1
"GO:0097110","GO:0097110","scaffold protein binding","1/333","58/16969",0.683826380956514,0.918919600445457,0.840288106361503,"KRT8",1
"GO:0004713","GO:0004713","protein tyrosine kinase activity","2/333","120/16969",0.685670861601533,0.918919600445457,0.840288106361503,"TTK/MELK",2
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","2/333","120/16969",0.685670861601533,0.918919600445457,0.840288106361503,"L2HGDH/IDH2",2
"GO:0052689","GO:0052689","carboxylic ester hydrolase activity","2/333","120/16969",0.685670861601533,0.918919600445457,0.840288106361503,"PAFAH1B3/PPME1",2
"GO:0004860","GO:0004860","protein kinase inhibitor activity","1/333","60/16969",0.696155901192077,0.927531331908977,0.848162936238314,"HEXIM2",1
"GO:0017022","GO:0017022","myosin binding","1/333","60/16969",0.696155901192077,0.927531331908977,0.848162936238314,"STX1A",1
